date,day_of_week,total_patients,male_patients,female_patients,children_patients,adult_patients,elderly_patients,fever_cases,cough_cases,diarrhea_cases,vomiting_cases,skin_rash_cases,animal_bite_cases,paracetamol_used,antibiotics_used,ors_packets_used,malaria_kits_used,temperature,rainfall,humidity
2015-02-10,Tuesday,51,23,28,8,38,5,5,5,2,1,0,0,4,4,1,0,27.7,1,51
2015-02-11,Wednesday,37,18,19,6,28,3,6,3,1,0,1,0,5,2,1,0,26.4,0,71
2015-02-12,Thursday,37,17,20,7,25,5,4,2,1,0,0,0,3,2,0,0,26.9,0,73
2015-02-13,Friday,41,21,20,7,30,4,6,4,2,1,1,0,6,3,2,0,24.8,0,62
2015-02-14,Saturday,28,15,13,5,20,3,6,1,1,0,1,0,5,3,0,0,26.5,0,43
2015-02-15,Sunday,42,20,22,9,27,6,7,6,2,1,1,0,7,6,2,0,26.6,0,58
2015-02-16,Monday,21,11,10,4,15,2,2,4,1,0,0,0,2,2,1,0,25.4,0,71
2015-02-17,Tuesday,43,19,24,7,31,5,6,7,2,1,0,0,5,6,2,0,28.3,0,52
2015-02-18,Wednesday,37,18,19,5,27,5,5,5,1,0,0,0,5,2,1,0,27.6,5,63
2015-02-19,Thursday,38,19,19,6,29,3,4,3,1,0,0,0,4,3,1,0,30.6,0,55
2015-02-20,Friday,27,13,14,4,20,3,6,1,1,0,1,0,6,1,0,0,26.0,0,68
2015-02-21,Saturday,34,16,18,8,21,5,5,5,1,0,0,0,5,2,0,0,26.9,1,74
2015-02-22,Sunday,46,22,24,11,29,6,6,8,2,1,2,3,5,6,1,0,24.9,0,65
2015-02-23,Monday,37,20,17,6,26,5,8,4,1,0,0,0,7,3,0,0,26.1,0,61
2015-02-24,Tuesday,32,16,16,5,23,4,7,5,1,0,1,0,7,4,1,0,28.2,0,59
2015-02-25,Wednesday,29,13,16,6,20,3,2,5,1,0,1,0,2,2,0,0,29.1,1,59
2015-02-26,Thursday,30,15,15,7,21,2,5,4,1,0,0,3,5,2,0,0,27.3,1,63
2015-02-27,Friday,37,19,18,8,26,3,8,6,1,0,1,0,8,4,0,0,27.0,0,55
2015-02-28,Saturday,35,18,17,8,24,3,5,5,1,0,0,0,5,4,0,0,22.2,0,42
2015-03-01,Sunday,34,16,18,5,25,4,5,5,1,0,1,0,5,3,0,0,35.2,0,65
2015-03-02,Monday,40,21,19,8,27,5,4,3,2,1,0,0,3,1,1,0,31.7,0,47
2015-03-03,Tuesday,36,17,19,8,24,4,6,1,1,0,1,0,5,2,1,0,36.9,0,40
2015-03-04,Wednesday,34,15,19,7,24,3,4,4,1,0,1,0,3,2,0,0,31.7,0,57
2015-03-05,Thursday,30,13,17,7,21,2,3,4,1,0,0,0,2,3,0,0,34.9,0,56
2015-03-06,Friday,29,14,15,6,20,3,4,3,1,0,1,0,4,3,1,0,32.3,0,59
2015-03-07,Saturday,35,18,17,8,22,5,6,6,1,0,0,0,5,2,1,0,33.5,5,64
2015-03-08,Sunday,36,18,18,6,26,4,7,4,1,0,1,0,7,3,0,0,31.4,0,41
2015-03-09,Monday,31,14,17,4,24,3,7,1,1,0,0,1,5,2,1,0,31.6,0,57
2015-03-10,Tuesday,59,26,33,11,41,7,7,9,2,1,1,0,7,4,1,0,35.5,0,61
2015-03-11,Wednesday,32,16,16,7,21,4,5,3,1,0,1,0,5,2,1,0,28.2,0,64
2015-03-12,Thursday,51,24,27,9,35,7,12,6,2,1,0,2,9,5,1,0,34.6,5,56
2015-03-13,Friday,39,19,20,9,27,3,4,3,1,0,1,1,4,2,0,0,32.6,0,69
2015-03-14,Saturday,28,15,13,4,21,3,2,3,1,0,0,0,2,2,0,0,34.1,0,56
2015-03-15,Sunday,32,15,17,6,24,2,3,4,1,0,1,3,2,1,0,0,30.1,0,59
2015-03-16,Monday,35,18,17,6,25,4,7,3,1,0,1,0,7,4,0,0,37.5,0,42
2015-03-17,Tuesday,28,13,15,4,21,3,4,3,1,0,0,0,4,3,1,0,36.1,0,73
2015-03-18,Wednesday,32,16,16,7,21,4,7,2,1,0,1,2,6,4,0,0,35.3,0,40
2015-03-19,Thursday,53,24,29,8,40,5,9,9,2,1,2,1,7,7,1,0,34.2,2,41
2015-03-20,Friday,46,21,25,8,35,3,7,8,2,1,0,0,6,4,2,0,28.9,0,59
2015-03-21,Saturday,35,16,19,7,24,4,7,2,1,0,1,0,5,3,0,0,35.5,0,55
2015-03-22,Sunday,42,22,20,9,29,4,7,4,2,1,1,1,6,3,2,0,33.1,0,52
2015-03-23,Monday,41,18,23,7,29,5,10,5,2,1,0,1,8,6,2,0,39.5,0,57
2015-03-24,Tuesday,30,14,16,6,21,3,4,2,1,0,0,3,4,2,0,0,35.5,2,51
2015-03-25,Wednesday,31,16,15,7,20,4,5,3,1,0,0,1,5,2,0,0,36.6,0,41
2015-03-26,Thursday,47,22,25,9,33,5,6,9,2,1,1,0,5,4,2,0,30.2,1,65
2015-03-27,Friday,32,15,17,5,24,3,6,4,1,0,1,0,5,3,1,0,33.9,1,69
2015-03-28,Saturday,37,18,19,7,26,4,3,5,1,0,0,0,2,3,0,0,28.9,0,60
2015-03-29,Sunday,23,12,11,3,17,3,3,1,1,0,0,0,2,1,0,0,39.8,0,69
2015-03-30,Monday,36,17,19,6,26,4,8,4,1,0,1,0,9,3,0,0,31.1,0,52
2015-03-31,Tuesday,38,19,19,8,27,3,7,2,1,0,0,0,7,4,1,0,32.9,5,71
2015-04-01,Wednesday,44,23,21,7,33,4,6,7,2,1,0,0,6,4,2,0,35.5,0,72
2015-04-02,Thursday,42,21,21,10,27,5,9,6,2,1,0,0,10,6,1,0,35.3,0,63
2015-04-03,Friday,41,21,20,9,27,5,6,3,2,1,1,0,4,2,1,0,33.9,0,48
2015-04-04,Saturday,46,24,22,10,32,4,10,4,2,1,1,0,11,4,1,0,31.7,0,48
2015-04-05,Sunday,58,27,31,10,42,6,8,3,2,1,2,0,8,3,2,0,35.7,0,44
2015-04-06,Monday,43,19,24,7,31,5,4,2,2,1,1,0,4,1,1,0,34.2,0,64
2015-04-07,Tuesday,54,26,28,12,38,4,9,4,2,1,0,0,8,4,2,0,28.5,0,65
2015-04-08,Wednesday,55,29,26,13,37,5,6,5,2,1,1,0,6,5,1,0,30.2,1,48
2015-04-09,Thursday,51,27,24,9,37,5,8,4,2,1,1,0,7,5,2,0,38.9,0,65
2015-04-10,Friday,47,22,25,10,31,6,8,7,2,1,1,0,6,3,1,0,37.4,0,65
2015-04-11,Saturday,47,25,22,7,34,6,5,4,2,1,1,0,5,2,1,0,35.0,0,41
2015-04-12,Sunday,31,16,15,5,24,2,5,1,1,0,1,0,4,2,0,0,38.3,0,57
2015-04-13,Monday,64,28,36,11,48,5,10,5,3,1,1,0,9,5,2,0,35.7,0,68
2015-04-14,Tuesday,44,21,23,6,34,4,10,4,2,1,1,0,11,4,1,0,34.5,1,55
2015-04-15,Wednesday,51,23,28,11,33,7,6,6,2,1,0,0,5,5,1,0,28.7,0,65
2015-04-16,Thursday,44,21,23,8,32,4,5,2,2,1,1,0,5,2,1,0,36.9,0,53
2015-04-17,Friday,44,21,23,10,29,5,9,5,2,1,1,0,9,5,1,0,32.9,0,65
2015-04-18,Saturday,46,24,22,11,29,6,5,4,2,1,0,0,5,4,2,0,33.2,0,73
2015-04-19,Sunday,54,27,27,10,39,5,6,4,2,1,2,2,6,3,1,0,34.6,0,40
2015-04-20,Monday,50,22,28,9,37,4,5,9,2,1,1,0,5,3,1,0,36.3,0,63
2015-04-21,Tuesday,63,32,31,14,43,6,9,5,3,1,1,0,10,5,2,0,36.5,0,42
2015-04-22,Wednesday,45,22,23,8,33,4,6,3,2,1,1,0,6,2,1,0,33.0,0,55
2015-04-23,Thursday,36,18,18,5,27,4,5,5,1,0,0,0,5,4,1,0,35.0,0,71
2015-04-24,Friday,51,27,24,12,34,5,9,6,2,1,0,0,9,4,2,0,37.7,2,51
2015-04-25,Saturday,45,23,22,8,32,5,5,6,2,1,1,0,5,4,1,0,41.4,0,41
2015-04-26,Sunday,50,25,25,10,34,6,11,4,2,1,1,0,10,5,1,0,36.0,0,56
2015-04-27,Monday,43,23,20,8,30,5,6,4,2,1,2,0,6,3,1,0,34.3,0,64
2015-04-28,Tuesday,50,26,24,9,37,4,7,9,2,1,1,0,6,6,1,0,38.2,0,58
2015-04-29,Wednesday,39,19,20,7,27,5,5,2,1,0,1,0,4,3,0,0,34.5,0,62
2015-04-30,Thursday,39,19,20,5,30,4,4,2,1,0,1,0,4,2,1,0,33.9,0,49
2015-05-01,Friday,47,23,24,8,34,5,10,2,2,1,1,0,9,2,1,0,36.9,0,64
2015-05-02,Saturday,42,20,22,8,28,6,8,7,2,1,1,0,6,6,2,0,38.3,0,70
2015-05-03,Sunday,38,18,20,8,26,4,7,4,1,0,1,1,6,2,0,0,29.7,0,56
2015-05-04,Monday,58,27,31,13,40,5,7,5,2,1,2,0,6,4,2,0,31.7,2,46
2015-05-05,Tuesday,44,21,23,9,29,6,4,8,2,1,2,0,4,4,1,0,27.4,0,48
2015-05-06,Wednesday,50,23,27,11,35,4,11,5,2,1,1,1,9,4,2,0,29.4,0,54
2015-05-07,Thursday,46,22,24,10,32,4,8,4,2,1,0,0,7,3,1,0,33.7,0,57
2015-05-08,Friday,46,25,21,7,34,5,8,6,2,1,1,0,9,5,2,0,31.2,0,68
2015-05-09,Saturday,61,27,34,9,45,7,8,7,3,1,1,0,6,6,3,0,34.1,0,69
2015-05-10,Sunday,39,21,18,7,29,3,5,7,1,0,1,2,4,5,0,0,39.2,0,62
2015-05-11,Monday,66,35,31,14,45,7,9,5,3,1,1,0,7,6,3,0,31.6,0,53
2015-05-12,Tuesday,55,29,26,10,41,4,12,7,2,1,2,2,10,6,2,0,39.0,0,69
2015-05-13,Wednesday,56,26,30,12,37,7,12,6,2,1,1,0,13,6,1,0,36.4,0,50
2015-05-14,Thursday,50,23,27,10,35,5,7,8,2,1,1,0,6,6,1,0,33.5,0,50
2015-05-15,Friday,68,36,32,11,52,5,10,12,3,1,2,0,8,9,2,0,37.6,1,46
2015-05-16,Saturday,46,24,22,9,33,4,5,7,2,1,1,0,5,3,2,0,34.0,5,53
2015-05-17,Sunday,31,15,16,5,23,3,7,4,1,0,0,0,5,4,0,0,35.9,0,64
2015-05-18,Monday,44,21,23,8,32,4,9,8,2,1,0,0,10,8,1,0,35.1,0,65
2015-05-19,Tuesday,40,21,19,6,30,4,7,4,2,1,1,3,7,5,1,0,34.8,0,61
2015-05-20,Wednesday,63,32,31,10,46,7,9,9,3,1,1,0,9,6,2,0,33.9,0,65
2015-05-21,Thursday,51,25,26,8,38,5,11,10,2,1,1,0,9,9,2,0,31.4,1,70
2015-05-22,Friday,46,22,24,8,33,5,10,3,2,1,1,0,11,5,1,0,38.7,0,53
2015-05-23,Saturday,38,19,19,8,27,3,4,4,1,0,0,0,3,2,1,0,35.4,0,72
2015-05-24,Sunday,49,26,23,8,37,4,7,9,2,1,1,0,6,5,1,0,31.7,0,50
2015-05-25,Monday,36,19,17,6,27,3,7,4,1,0,0,0,6,4,0,0,36.0,0,63
2015-05-26,Tuesday,35,18,17,6,27,2,5,6,1,0,0,0,4,3,0,0,42.1,0,63
2015-05-27,Wednesday,63,31,32,10,48,5,12,7,3,1,3,0,9,4,2,0,30.7,2,62
2015-05-28,Thursday,46,21,25,8,32,6,5,5,2,1,2,0,4,3,2,0,28.8,0,74
2015-05-29,Friday,50,25,25,7,37,6,7,7,2,1,1,0,6,6,1,0,35.7,0,72
2015-05-30,Saturday,55,27,28,11,40,4,11,5,2,1,1,1,11,7,2,0,33.6,0,45
2015-05-31,Sunday,58,28,30,12,40,6,14,9,2,1,2,2,11,9,1,0,30.0,0,48
2015-06-01,Monday,39,20,19,8,27,4,8,5,1,0,1,2,8,4,1,0,30.7,0,72
2015-06-02,Tuesday,66,30,36,15,45,6,15,4,3,1,0,0,13,4,2,0,31.5,2,56
2015-06-03,Wednesday,58,29,29,9,43,6,12,8,2,1,1,3,10,6,2,0,27.5,0,72
2015-06-04,Thursday,68,35,33,11,48,9,10,12,6,3,3,0,10,5,6,1,25.5,50,77
2015-06-05,Friday,54,24,30,9,38,7,10,9,2,1,1,0,10,5,1,0,28.5,0,64
2015-06-06,Saturday,52,25,27,11,36,5,10,8,2,1,2,0,8,8,1,0,31.1,0,59
2015-06-07,Sunday,45,20,25,7,34,4,10,5,2,1,0,0,10,3,1,0,33.4,0,45
2015-06-08,Monday,58,28,30,12,39,7,6,6,2,1,0,0,4,5,2,0,31.0,2,54
2015-06-09,Tuesday,54,27,27,12,38,4,8,10,2,1,0,0,7,4,2,0,29.7,0,51
2015-06-10,Wednesday,45,20,25,7,32,6,10,7,2,1,1,0,11,5,1,0,26.4,0,57
2015-06-11,Thursday,52,27,25,10,38,4,5,7,2,1,1,0,5,5,2,0,29.4,0,52
2015-06-12,Friday,55,26,29,11,38,6,8,8,2,1,2,0,6,4,1,0,33.8,10,66
2015-06-13,Saturday,45,23,22,9,33,3,5,7,2,1,1,0,5,3,1,0,27.6,0,60
2015-06-14,Sunday,58,27,31,14,37,7,11,9,5,2,1,0,9,5,5,0,29.5,20,72
2015-06-15,Monday,54,26,28,9,40,5,12,9,2,1,0,2,10,8,2,0,24.9,5,42
2015-06-16,Tuesday,70,35,35,10,52,8,7,5,3,1,2,0,6,3,2,0,30.6,0,73
2015-06-17,Wednesday,52,25,27,10,38,4,8,9,2,1,1,0,8,7,1,0,29.9,2,42
2015-06-18,Thursday,57,25,32,14,39,4,7,6,2,1,1,1,6,4,1,0,32.0,0,48
2015-06-19,Friday,52,28,24,8,37,7,9,6,2,1,1,0,10,5,2,0,28.5,0,58
2015-06-20,Saturday,39,20,19,8,27,4,7,4,1,0,1,0,7,2,0,0,29.3,0,50
2015-06-21,Sunday,37,17,20,6,27,4,9,6,1,0,0,1,8,6,0,0,28.1,5,46
2015-06-22,Monday,53,26,27,10,37,6,6,5,2,1,1,0,6,4,1,0,29.1,0,49
2015-06-23,Tuesday,76,38,38,18,48,10,8,3,3,1,2,0,9,4,2,0,32.7,2,48
2015-06-24,Wednesday,64,30,34,11,47,6,13,6,3,1,1,0,13,8,3,0,28.1,2,45
2015-06-25,Thursday,49,22,27,11,33,5,6,5,2,1,0,0,5,3,2,0,28.8,0,49
2015-06-26,Friday,52,25,27,11,35,6,11,5,5,2,2,0,12,5,5,0,29.1,50,84
2015-06-27,Saturday,63,30,33,12,43,8,14,3,3,1,2,0,14,5,2,0,29.8,0,73
2015-06-28,Sunday,49,24,25,11,33,5,11,6,2,1,1,0,9,6,2,0,27.3,0,70
2015-06-29,Monday,46,24,22,7,35,4,5,4,2,1,0,0,5,3,1,0,26.9,5,47
2015-06-30,Tuesday,54,28,26,11,36,7,9,8,2,1,1,1,10,4,1,0,31.4,0,65
2015-07-01,Wednesday,62,29,33,10,45,7,7,4,3,1,1,1,5,4,3,0,25.5,0,59
2015-07-02,Thursday,70,35,35,16,48,6,17,12,3,1,1,0,19,9,2,0,27.2,0,61
2015-07-03,Friday,37,17,20,7,27,3,4,1,1,0,1,0,4,1,0,0,28.2,2,47
2015-07-04,Saturday,56,25,31,11,39,6,11,10,2,1,1,3,9,6,2,0,28.4,0,63
2015-07-05,Sunday,67,30,37,10,51,6,7,4,3,1,2,0,6,2,2,0,26.3,0,59
2015-07-06,Monday,55,29,26,8,40,7,9,5,2,1,0,0,9,5,1,0,30.4,10,66
2015-07-07,Tuesday,53,25,28,11,37,5,6,9,2,1,1,0,5,5,1,0,29.5,0,66
2015-07-08,Wednesday,76,35,41,17,48,11,12,14,3,1,1,3,13,5,2,0,31.4,0,41
2015-07-09,Thursday,53,26,27,10,36,7,9,5,2,1,1,0,7,5,1,0,30.0,0,52
2015-07-10,Friday,49,25,24,11,33,5,4,4,2,1,2,2,3,3,2,0,30.3,2,52
2015-07-11,Saturday,64,31,33,10,46,8,14,11,3,1,1,0,12,9,3,0,31.1,0,73
2015-07-12,Sunday,53,27,26,10,37,6,11,6,2,1,2,0,12,4,1,0,33.5,0,71
2015-07-13,Monday,54,28,26,12,35,7,7,9,2,1,2,1,6,5,2,0,30.8,0,69
2015-07-14,Tuesday,61,28,33,14,40,7,12,10,3,1,2,0,12,10,2,0,28.9,0,51
2015-07-15,Wednesday,64,30,34,9,50,5,10,6,3,1,1,3,9,4,2,0,25.9,0,44
2015-07-16,Thursday,52,27,25,12,33,7,11,9,2,1,1,0,12,8,2,0,28.3,0,50
2015-07-17,Friday,65,34,31,11,49,5,13,6,3,1,2,0,13,9,3,0,32.1,0,69
2015-07-18,Saturday,50,22,28,11,33,6,11,5,2,1,0,0,13,7,2,0,27.5,2,53
2015-07-19,Sunday,43,22,21,9,30,4,6,7,2,1,1,1,5,6,2,0,28.5,0,56
2015-07-20,Monday,52,26,26,10,35,7,7,8,2,1,1,0,8,4,2,0,34.2,0,47
2015-07-21,Tuesday,60,31,29,9,46,5,9,5,3,1,2,0,8,3,2,0,28.7,2,66
2015-07-22,Wednesday,58,26,32,10,41,7,8,8,2,1,0,0,7,5,1,0,30.6,0,53
2015-07-23,Thursday,49,24,25,11,32,6,8,8,2,1,1,0,7,4,2,0,28.0,0,48
2015-07-24,Friday,58,27,31,9,41,8,6,10,2,1,2,0,5,4,1,0,31.6,10,73
2015-07-25,Saturday,64,33,31,15,40,9,11,3,3,1,0,0,12,4,3,0,29.0,0,61
2015-07-26,Sunday,48,21,27,11,33,4,11,6,2,1,1,0,11,7,1,0,29.3,5,70
2015-07-27,Monday,44,22,22,10,28,6,8,2,2,1,0,0,8,3,2,0,27.2,0,50
2015-07-28,Tuesday,49,22,27,7,36,6,9,6,2,1,1,0,9,6,1,0,32.3,0,42
2015-07-29,Wednesday,59,31,28,13,42,4,7,6,2,1,0,0,6,3,1,0,28.8,5,69
2015-07-30,Thursday,42,20,22,6,33,3,10,8,2,1,1,1,8,5,2,0,31.0,5,58
2015-07-31,Friday,42,19,23,6,33,3,8,3,2,1,0,0,8,3,1,0,26.6,0,74
2015-08-01,Saturday,42,20,22,6,33,3,5,2,2,1,0,0,4,1,2,0,26.2,0,42
2015-08-02,Sunday,34,18,16,6,24,4,3,2,1,0,1,3,3,1,1,0,29.5,5,64
2015-08-03,Monday,61,31,30,13,42,6,7,10,3,1,0,1,7,6,3,0,32.0,0,59
2015-08-04,Tuesday,60,29,31,13,41,6,14,6,3,1,2,0,15,7,2,0,29.0,0,73
2015-08-05,Wednesday,38,18,20,5,29,4,8,4,1,0,1,1,9,5,0,0,28.0,0,74
2015-08-06,Thursday,65,32,33,15,41,9,12,6,3,1,2,0,11,7,2,0,30.3,0,65
2015-08-07,Friday,57,27,30,11,41,5,12,5,2,1,2,0,10,5,1,0,27.5,0,56
2015-08-08,Saturday,64,34,30,11,46,7,11,11,3,1,2,1,12,8,2,0,31.8,0,41
2015-08-09,Sunday,58,31,27,10,42,6,11,3,2,1,1,0,12,6,1,0,30.5,0,71
2015-08-10,Monday,60,28,32,13,39,8,11,9,3,1,2,3,8,5,3,0,32.6,0,43
2015-08-11,Tuesday,49,25,24,7,38,4,8,6,2,1,1,3,8,3,1,0,29.4,0,71
2015-08-12,Wednesday,49,24,25,9,36,4,7,8,2,1,2,0,7,5,2,0,32.1,0,58
2015-08-13,Thursday,50,23,27,10,36,4,11,7,2,1,0,0,11,4,2,0,32.6,0,46
2015-08-14,Friday,47,24,23,11,30,6,5,2,2,1,1,0,4,2,2,0,34.9,0,71
2015-08-15,Saturday,32,14,18,7,21,4,6,5,1,0,1,0,5,2,1,0,26.6,0,43
2015-08-16,Sunday,52,23,29,10,38,4,8,4,2,1,0,1,9,5,1,0,32.1,0,72
2015-08-17,Monday,59,27,32,9,45,5,10,9,2,1,1,0,10,3,1,0,32.1,5,70
2015-08-18,Tuesday,46,23,23,8,32,6,7,7,2,1,0,0,6,4,2,0,30.7,0,42
2015-08-19,Wednesday,57,28,29,10,41,6,7,4,2,1,1,0,6,2,1,0,28.5,0,56
2015-08-20,Thursday,52,25,27,10,35,7,9,8,2,1,0,0,7,8,2,0,31.8,0,52
2015-08-21,Friday,47,22,25,10,32,5,7,8,2,1,1,0,8,4,1,0,31.2,2,40
2015-08-22,Saturday,69,35,34,11,51,7,14,10,3,1,0,0,16,11,3,0,30.5,0,40
2015-08-23,Sunday,50,22,28,11,32,7,6,6,2,1,2,0,6,4,2,0,29.9,0,49
2015-08-24,Monday,51,23,28,9,35,7,8,3,2,1,2,0,7,3,2,0,32.9,10,43
2015-08-25,Tuesday,67,32,35,12,45,10,14,11,3,1,1,0,14,9,3,0,31.5,0,71
2015-08-26,Wednesday,65,30,35,15,43,7,15,9,3,1,2,0,14,6,3,0,30.9,5,70
2015-08-27,Thursday,58,26,32,13,37,8,10,4,2,1,1,0,8,6,1,0,29.3,0,40
2015-08-28,Friday,69,37,32,10,51,8,7,8,3,1,3,0,6,5,2,0,36.3,0,67
2015-08-29,Saturday,61,28,33,13,42,6,9,11,6,3,0,0,8,5,5,0,28.2,20,65
2015-08-30,Sunday,46,23,23,10,31,5,10,8,2,1,1,0,11,7,2,0,29.3,0,54
2015-08-31,Monday,58,30,28,13,40,5,7,8,2,1,1,3,6,3,1,0,30.1,0,63
2015-09-01,Tuesday,50,25,25,12,34,4,8,5,2,1,2,0,8,3,1,0,28.3,0,74
2015-09-02,Wednesday,66,33,33,15,46,5,15,3,3,1,0,1,14,8,2,0,27.3,0,53
2015-09-03,Thursday,44,19,25,6,32,6,7,5,2,1,1,1,6,5,1,0,31.2,10,58
2015-09-04,Friday,61,28,33,11,43,7,6,4,3,1,2,0,5,3,2,0,29.1,0,45
2015-09-05,Saturday,47,21,26,7,36,4,11,6,4,2,1,0,11,6,2,0,27.9,20,41
2015-09-06,Sunday,59,30,29,13,39,7,12,6,2,1,0,0,12,7,1,0,29.9,0,42
2015-09-07,Monday,57,28,29,9,41,7,6,2,2,1,2,2,5,2,2,0,30.7,0,58
2015-09-08,Tuesday,59,30,29,13,39,7,12,10,2,1,0,0,14,5,2,0,29.7,0,65
2015-09-09,Wednesday,62,32,30,10,46,6,10,10,3,1,2,0,10,5,2,0,32.4,2,64
2015-09-10,Thursday,60,27,33,12,44,4,7,7,3,1,0,3,7,6,3,0,30.3,0,52
2015-09-11,Friday,48,22,26,8,35,5,7,4,2,1,1,0,8,4,1,0,31.8,0,69
2015-09-12,Saturday,34,18,16,7,24,3,8,4,3,1,0,1,6,2,3,0,32.6,20,70
2015-09-13,Sunday,44,24,20,10,30,4,10,7,2,1,0,0,11,5,1,0,33.4,5,61
2015-09-14,Monday,49,24,25,11,32,6,5,8,2,1,1,3,4,4,1,0,30.6,0,63
2015-09-15,Tuesday,53,26,27,11,36,6,12,3,2,1,0,0,12,4,1,0,30.8,0,59
2015-09-16,Wednesday,44,20,24,9,32,3,9,3,2,1,1,0,9,4,1,0,29.5,5,67
2015-09-17,Thursday,71,37,34,15,47,9,12,13,3,1,3,0,13,11,3,0,30.1,0,60
2015-09-18,Friday,58,29,29,12,39,7,12,9,2,1,2,0,13,7,2,0,28.1,0,46
2015-09-19,Saturday,55,28,27,12,36,7,11,2,2,1,2,0,10,4,2,0,29.8,0,71
2015-09-20,Sunday,52,28,24,11,36,5,8,5,2,1,0,1,7,4,1,0,28.2,2,42
2015-09-21,Monday,49,22,27,8,37,4,6,7,2,1,0,0,5,5,1,0,33.0,0,66
